,event,gid,layer,cell,x,y,r,phi,trackIndex,centerX,centerY,radius,momx,momy,momz,chargeParticle,flightLength,currentTrackPID,rawDriftTime,creatorProcessturnID,isScondary
124,39,2597,25,9,43.20825000000001,20.20055,47.697118239627436,0.43732441208285966,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,405.089,,-9999
25,39,2625,25,37,6.3664045,47.270399999999995,47.69718883139361,1.4369213229642404,9,86.4245,15.4355,87.2779,96.1604,243.342,-83.0576,-1,516.69,-211,107.205,Decay,0
134,39,2724,25,136,12.207830000000001,-46.1084,47.69712427252716,-1.311971415772443,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,995.217,,-9999
73,39,2744,25,156,39.420649999999995,-26.852,47.6971440489103,-0.597973433097996,8,-148.385,-362.503,385.876,1009.34,-565.223,-848.203,1,596.569,211,177.065,Decay,0
91,39,2771,26,7,45.7611,18.478099999999998,49.35097215678735,0.38377357818163826,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,64.1901,,-9999
27,39,2800,26,36,7.459035,48.784000000000006,49.35094587878965,1.4190721802083996,9,86.3664,15.2977,87.2772,101.663,241.092,-83.0641,-1,535.116,-211,277.529,Decay,0
26,39,2801,26,37,5.713099999999996,49.019149999999996,49.35095316538982,1.4547714505259792,9,86.4811,15.5779,87.2785,99.1755,242.13,-83.0799,-1,522.111,-211,616.067,Decay,0
102,39,2899,26,135,11.77754,-47.925,49.35094805018035,-1.3298222120043908,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1331.44,,-9999
103,39,2900,26,136,13.480595000000001,-47.4741,49.35095351018078,-1.2941222374412538,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1263.94,,-9999
74,39,2919,26,155,40.2851,-28.50665,49.350971380840114,-0.6158235505286516,8,-145.464,-364.121,385.868,1011.8,-560.758,-848.228,1,619.51,211,126.155,Decay,0
92,39,2924,26,160,44.706450000000004,-20.90095,49.35095118136023,-0.4373238148989936,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1001.13,,-9999
28,39,2977,27,37,6.8105020000000005,50.56805,51.02460796806286,1.4369219423161,9,86.305,15.1609,87.2745,105.743,239.322,-83.062,-1,554.02,-211,235.719,Decay,0
75,39,3096,27,156,42.17075,-28.7253,51.024651058605976,-0.597973851568798,8,-142.494,-365.754,385.864,1014.23,-556.325,-848.24,1,641.036,211,147.862,Decay,0
29,39,3167,28,51,6.74655,52.261449999999996,52.695114507940865,1.442414055625147,9,86.5366,15.6888,87.2694,109.755,237.492,-83.1044,-1,566.297,-211,118.94,Decay,0
